"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","录像","通用","0","0","12","0","0"
"","全景","白平衡","0","0","9","0","0"
"","相册","选择、全选","0","0","23","0","0"
"","延时摄影","通用","0","0","12","0","0"
"","延时摄影","闪光灯","0","0","6","0","0"
"","全景","闪光灯","0","0","6","0","0"
"","拍照","通用","0","0","11","0","0"
"","延时摄影","白平衡","0","0","9","0","0"
"","运动延时","云台","0","0","18","0","0"
"","录像","网络显示","0","0","5","0","0"
"","拍照","照片","0","0","5","0","0"
"","延时摄影","延时摄影","0","0","17","0","0"
"","录像","手势控制","0","0","6","0","0"
"","拍照","闪光灯","0","0","8","0","0"
"","运动延时","运动延时","0","0","10","0","0"
"","拍照","美颜","0","0","15","0","0"
"","录像","闪光灯","0","0","6","0","0"
"","录像","云台","0","0","18","0","0"
"","延时摄影","云台","0","0","18","0","0"
"","拍照","云台","0","0","19","0","0"
"","全景","云台","0","0","18","0","0"
"","拍照","倒计时","0","0","4","0","0"
"","运动延时","通用","0","0","12","0","0"
"","相册","视频","0","7","5","0","0"
"","测试登录页","登录成功","0","0","0","3","0"
"","全景","通用","0","0","12","0","0"
"","录像","美颜","0","0","17","0","0"
"","全景","","0","0","1","0","0"
"","录像","白平衡","0","0","7","0","0"
"","运动延时","闪光灯","0","0","6","0","0"
"","延时摄影","网络显示","0","0","5","0","0"
"","运动延时","白平衡","0","0","9","0","0"
"","录像","视频分辨率","0","0","5","0","0"
"","拍照","手势控制","0","0","7","0","0"
"","运动延时","网络显示","0","0","5","0","0"
"","相册","照片","0","4","4","0","0"
"","拍照","网络显示","0","0","5","0","0"
"","拍照","白平衡","0","0","7","0","0"
"","全景","网络显示","0","0","5","0","0"
"","测试登录页","进入登录页","0","0","0","1","0"
"","运动延时","","0","0","1","0","0"
"","拍照","","0","0","1","0","0"
"","相册","","0","0","1","0","0"
"","录像","","0","0","1","0","0"
"","延时摄影","","0","0","1","0","0"
